cut,color,clarity,city,carat,depth,table,x,y,z,price
2,2,6,9,0.32,61.8,56.0,4.42,4.45,2.74,926
2,5,2,5,0.71,62.0,54.0,5.72,5.75,3.55,2319
2,5,2,5,0.7,62.5,55.0,5.68,5.71,3.56,2110
2,5,2,3,0.71,62.3,53.0,5.69,5.82,3.56,2319
2,6,5,2,1.2,61.8,55.0,6.84,6.86,4.23,5318
2,6,5,3,1.35,61.8,54.0,7.1,7.14,4.4,6754
2,6,5,1,1.27,61.8,54.0,6.95,6.98,4.31,5285
0,2,2,4,1.01,65.9,58.0,6.16,6.1,4.04,4276
0,2,2,4,0.9,66.0,57.0,6.06,6.0,3.98,3160
0,3,2,2,1.0,66.2,58.0,6.25,6.15,4.11,4295
4,4,7,8,0.33,61.6,56.0,4.44,4.47,2.74,614
4,4,7,6,0.24,61.4,57.0,4.02,4.04,2.47,449
4,4,6,7,0.32,61.2,57.0,4.39,4.42,2.69,672
4,3,2,0,2.0,63.0,55.0,7.96,8.1,5.06,17724
4,4,3,0,2.02,63.1,54.0,8.09,7.99,5.07,13655
4,2,3,1,2.09,63.4,55.0,8.18,8.11,5.16,18640
4,6,5,3,0.51,61.6,58.0,5.09,5.14,3.15,1008
4,6,3,3,0.5,60.7,57.0,5.11,5.13,3.11,947
4,6,5,3,0.42,60.9,58.0,4.81,4.85,2.94,723
2,4,2,4,0.35,62.3,57.0,4.5,4.55,2.82,491
2,4,2,6,0.43,62.1,57.0,4.77,4.83,2.98,669
2,4,2,3,0.35,62.3,57.0,4.55,4.5,2.82,630
2,3,4,10,0.43,61.9,55.0,4.84,4.86,3.0,943
2,3,4,9,0.39,61.8,55.0,4.72,4.76,2.93,802
2,3,4,10,0.42,61.8,56.0,4.84,4.8,2.98,984
4,2,4,5,0.4,60.4,61.0,4.74,4.77,2.87,982
4,2,5,8,0.52,60.0,61.5,5.19,5.23,3.13,1680
4,2,4,6,0.51,60.0,59.0,5.18,5.22,3.12,1680
3,1,2,4,0.42,62.5,55.0,4.83,4.8,3.01,992
3,1,2,5,0.36,61.3,56.0,4.62,4.58,2.82,810
3,0,2,4,0.34,62.0,56.0,4.47,4.43,2.76,803
1,5,5,5,1.35,59.2,65.0,7.18,7.13,4.23,5610
1,5,5,5,2.01,59.9,65.0,8.19,8.14,4.89,15729
1,6,3,5,1.51,58.1,64.0,7.57,7.53,4.39,6215
3,0,3,10,0.3,62.4,58.0,4.28,4.31,2.68,447
3,0,3,10,0.3,62.3,58.0,4.32,4.29,2.68,574
3,0,2,11,0.3,62.5,59.0,4.26,4.22,2.65,520
4,2,3,7,1.01,63.2,58.0,6.43,6.3,4.02,4299
4,2,3,7,1.0,62.9,59.0,6.3,6.39,3.99,4081
4,1,3,6,1.01,63.3,58.0,6.39,6.37,4.04,4434
3,0,2,2,0.3,62.7,60.0,4.26,4.23,2.66,709
3,0,2,1,0.31,61.7,59.0,4.35,4.31,2.67,732
3,1,2,1,0.33,62.0,60.0,4.43,4.38,2.73,743
4,1,6,3,0.23,62.4,54.0,3.95,3.98,2.47,583
4,0,5,3,0.33,62.9,54.0,4.4,4.44,2.78,660
4,0,6,1,0.37,62.3,54.0,4.57,4.65,2.87,1108
4,2,2,10,0.7,62.3,58.0,5.62,5.78,3.55,2161
4,2,2,10,0.78,62.4,58.0,5.83,5.86,3.65,3045
4,2,3,9,0.7,62.3,58.0,5.65,5.71,3.54,2070
0,5,3,8,1.71,65.1,60.0,7.5,7.46,4.87,8800
0,4,3,10,1.5,64.6,59.0,7.2,7.11,4.62,6250
0,4,3,10,1.51,64.5,59.0,7.21,7.15,4.63,6291
1,6,2,6,1.0,63.9,60.0,6.26,6.19,3.98,3679
1,6,2,10,0.9,63.2,60.0,6.09,6.12,3.86,2729
1,6,2,7,1.12,63.7,61.0,6.54,6.5,4.15,3951
3,0,2,8,0.72,60.4,59.0,5.77,5.72,3.47,2691
3,0,2,8,0.74,60.6,60.0,5.88,5.84,3.55,2655
3,0,2,10,0.76,61.1,59.0,5.93,5.88,3.61,2847
3,2,5,4,0.31,61.6,58.0,4.35,4.38,2.69,625
3,2,5,3,0.31,61.4,58.0,4.4,4.36,2.69,802
3,2,5,4,0.32,61.1,58.0,4.42,4.39,2.69,828
4,1,7,3,0.26,62.6,58.0,4.07,4.11,2.56,597
4,1,7,3,0.26,63.1,59.0,4.08,4.04,2.56,769
4,1,7,1,0.23,62.6,59.0,3.93,3.96,2.47,505
2,3,4,1,1.17,61.8,57.0,6.76,6.8,4.19,8639
2,3,4,1,1.28,62.1,57.0,6.91,6.94,4.3,10126
2,3,4,0,1.22,62.0,56.0,6.83,6.88,4.24,9339
4,1,6,2,0.3,60.5,57.0,4.37,4.39,2.65,862
4,1,6,4,0.31,60.0,56.0,4.45,4.49,2.68,1039
4,1,6,3,0.27,60.0,58.0,4.21,4.22,2.53,544
1,4,4,1,0.72,60.0,61.2,5.74,5.83,3.47,2637
1,3,4,1,0.6,60.1,61.0,5.44,5.5,3.29,1757
1,3,4,0,0.65,60.0,60.4,5.6,5.7,3.39,2241
2,3,4,2,1.38,62.2,54.0,7.18,7.14,4.45,11527
2,3,4,2,1.24,61.9,54.0,6.89,6.92,4.27,8584
2,4,4,3,1.22,61.9,54.0,6.88,6.9,4.26,8411
1,1,2,10,0.74,62.1,64.0,5.76,5.71,3.56,2366
1,0,2,12,0.9,61.9,64.0,6.09,6.0,3.74,3505
1,1,2,12,0.9,62.2,65.0,6.13,6.08,3.8,3274
2,0,5,1,0.4,60.4,56.0,4.77,4.73,2.87,1050
2,0,5,1,0.44,60.4,56.0,4.95,4.91,2.98,1155
2,0,5,1,0.42,61.2,56.0,4.84,4.8,2.95,1103
2,0,5,1,0.31,62.2,55.0,4.34,4.31,2.69,942
2,0,5,1,0.32,61.9,55.0,4.41,4.44,2.74,758
2,0,5,2,0.31,62.1,55.0,4.35,4.32,2.69,942
1,4,2,10,0.55,63.6,55.0,5.23,5.18,3.31,1263
1,4,2,10,0.53,63.9,55.0,5.14,5.19,3.3,1132
1,3,2,12,0.5,63.6,55.0,5.06,5.03,3.21,1286
4,4,4,10,0.7,62.2,57.0,5.67,5.72,3.54,2145
4,4,4,8,0.78,61.9,57.1,5.87,5.95,3.66,2854
4,4,4,9,0.9,62.2,57.0,6.1,6.15,3.81,4324
2,2,2,7,0.35,61.1,56.0,4.56,4.58,2.79,707
2,2,2,7,0.38,61.0,56.0,4.7,4.73,2.87,874
2,2,2,7,0.37,61.3,55.0,4.61,4.65,2.84,583
3,4,2,11,1.08,61.7,59.0,6.56,6.6,4.06,4740
3,4,2,10,0.93,61.8,59.0,6.27,6.23,3.86,3750
3,4,2,12,0.93,61.8,59.0,6.23,6.27,3.86,3816
4,1,5,6,0.71,59.9,59.0,5.79,5.83,3.48,3053
4,0,5,7,0.7,59.7,59.0,5.82,5.78,3.46,2999
4,1,5,5,0.71,60.0,59.0,5.84,5.83,3.5,2881
2,2,2,3,1.04,61.3,55.0,6.51,6.53,4.0,5321
2,2,2,3,1.09,61.4,56.0,6.63,6.66,4.08,6872
2,2,2,3,1.06,61.7,55.1,6.56,6.58,4.06,6249
3,2,3,10,1.3,61.1,58.0,7.02,6.98,4.28,6261
3,2,4,10,1.21,61.3,57.0,6.9,6.86,4.22,8879
3,2,3,12,1.23,61.2,58.0,6.91,6.84,4.21,6038
2,3,6,1,0.51,62.3,55.0,5.1,5.14,3.19,2005
2,3,6,2,0.54,61.8,55.0,5.27,5.24,3.25,2236
2,3,6,1,0.5,62.2,54.0,5.1,5.13,3.18,1883
3,6,6,9,1.53,61.6,59.0,7.39,7.35,4.54,9555
3,5,7,8,1.51,62.1,58.0,7.32,7.29,4.54,9498
3,5,7,10,1.7,61.7,57.4,7.62,7.67,4.71,13127
2,1,7,3,0.57,61.0,57.0,5.37,5.36,3.27,2507
2,1,7,3,0.59,61.1,57.0,5.39,5.41,3.3,2911
2,1,7,3,0.59,60.2,56.0,5.46,5.51,3.3,2553
1,1,2,5,1.01,63.2,59.0,6.27,6.35,3.99,5411
1,1,3,5,1.01,63.9,58.0,6.37,6.31,4.05,3611
1,1,3,4,1.0,63.3,58.0,6.32,6.35,4.01,4496
2,0,7,7,0.63,62.6,56.0,5.47,5.49,3.43,2962
2,1,7,8,0.51,62.8,56.0,5.13,5.15,3.23,2211
2,0,7,11,0.53,62.2,56.0,5.19,5.23,3.24,2407
2,2,3,6,0.54,61.8,56.0,5.26,5.29,3.26,1065
2,2,3,5,0.5,60.5,56.0,5.17,5.19,3.14,1118
2,2,3,5,0.51,61.0,55.0,5.18,5.21,3.17,1100
4,1,6,11,0.23,62.6,58.0,3.96,4.0,2.49,472
4,1,6,10,0.23,61.7,59.0,3.97,4.0,2.46,478
4,1,6,10,0.24,62.7,59.0,3.97,4.0,2.5,552
3,0,5,8,0.87,59.9,59.0,6.2,6.16,3.7,3873
3,0,5,10,1.1,60.0,59.0,6.67,6.6,3.98,6209
3,1,5,7,1.02,60.0,59.0,6.56,6.54,3.93,7311
2,1,0,11,0.3,60.3,57.0,4.39,4.36,2.64,495
2,0,1,11,0.31,61.1,56.0,4.39,4.42,2.69,1251
2,1,2,10,0.32,61.0,56.0,4.41,4.45,2.7,559
3,5,2,7,1.52,61.9,58.0,7.42,7.37,4.58,8631
3,6,2,6,1.51,62.3,58.0,7.3,7.33,4.56,7034
3,5,2,7,1.64,62.4,58.0,7.58,7.52,4.71,8716
4,5,5,1,2.01,62.3,59.0,8.02,8.1,5.02,15965
4,5,5,3,2.07,60.6,58.0,8.24,8.29,5.01,16378
4,5,5,3,2.01,62.4,58.0,8.06,7.99,5.01,17570
3,2,4,3,0.38,60.9,58.0,4.71,4.68,2.86,998
3,2,4,3,0.38,60.9,58.0,4.68,4.71,2.86,933
3,2,5,1,0.33,60.8,58.0,4.44,4.47,2.71,666
2,6,2,11,1.91,60.7,56.0,8.01,8.09,4.89,11447
2,5,2,10,2.04,61.0,57.0,8.18,8.21,5.0,16718
2,6,2,10,2.04,61.7,57.0,8.11,8.17,5.02,14130
4,3,4,9,1.01,58.8,58.0,6.52,6.61,3.86,6777
4,3,4,10,1.01,59.1,58.0,6.56,6.63,3.9,6613
4,5,5,10,1.02,59.3,59.0,6.56,6.6,3.9,4532
2,3,1,11,1.07,61.5,57.0,6.54,6.59,4.04,9361
2,3,1,12,1.14,61.1,57.0,6.7,6.76,4.11,10313
2,3,1,11,1.16,62.0,57.0,6.7,6.73,4.16,9901
4,5,2,9,0.3,61.2,58.0,4.28,4.31,2.63,405
4,5,2,11,0.3,61.6,59.0,4.29,4.34,2.66,394
4,5,2,9,0.31,62.3,58.0,4.35,4.38,2.72,418
3,3,4,12,0.29,62.1,59.0,4.25,4.22,2.63,547
3,3,4,11,0.33,62.8,58.0,4.41,4.38,2.76,854
3,3,4,12,0.35,62.3,59.0,4.49,4.53,2.81,706
3,3,2,2,0.44,61.0,60.0,4.88,4.93,2.99,772
3,3,2,1,0.41,60.3,60.0,4.8,4.76,2.88,923
3,4,2,0,0.41,61.4,60.0,4.78,4.73,2.92,876
2,5,7,4,0.4,62.0,56.0,4.74,4.77,2.95,1240
2,5,7,3,0.5,61.8,57.0,5.09,5.11,3.15,1322
2,4,7,4,0.48,62.5,56.0,4.98,5.02,3.12,1590
2,2,2,3,0.99,62.8,57.0,6.3,6.38,3.98,5728
2,2,2,2,1.03,62.4,57.0,6.48,6.44,4.03,6178
2,2,2,3,1.03,62.8,56.0,6.38,6.46,4.03,5356
2,3,7,6,0.52,62.4,55.0,5.17,5.19,3.23,1911
2,3,7,6,0.52,62.3,55.0,5.16,5.12,3.2,2012
2,3,7,7,0.53,62.5,54.0,5.21,5.19,3.25,1914
4,2,5,8,1.24,60.9,60.0,6.96,6.93,4.23,8907
4,2,5,6,1.2,61.1,58.0,6.82,6.86,4.18,8232
4,1,5,7,1.21,61.5,59.0,6.82,6.88,4.21,8886
4,1,5,9,1.51,63.2,56.0,7.28,7.22,4.58,13757
4,2,5,10,1.52,63.5,57.0,7.23,7.29,4.61,14217
4,2,5,10,1.5,63.9,57.0,7.16,7.23,4.6,13037
2,1,2,1,0.62,62.4,53.0,5.47,5.5,3.42,1779
2,1,2,1,0.82,62.1,54.0,5.98,6.03,3.73,3380
2,0,2,1,0.7,61.4,54.0,5.75,5.71,3.52,2822
4,3,4,1,1.03,63.0,56.0,6.43,6.46,4.06,6539
4,3,4,1,1.06,62.8,54.0,6.5,6.56,4.1,6663
4,3,4,2,1.01,62.7,56.0,6.36,6.46,4.02,6326
3,4,4,6,1.58,61.7,59.0,7.48,7.42,4.6,11491
3,4,4,4,1.52,61.4,58.0,7.3,7.44,4.55,11516
3,4,4,4,1.57,61.7,58.0,7.47,7.56,4.64,10880
2,2,4,10,0.54,60.9,57.0,5.21,5.26,3.19,1772
2,2,4,11,0.55,61.6,57.0,5.23,5.29,3.24,1881
2,2,4,9,0.55,61.6,57.0,5.29,5.23,3.24,1980
2,3,5,11,1.59,61.8,56.0,7.51,7.44,4.62,9794
2,3,5,9,1.55,61.6,56.0,7.44,7.49,4.6,14106
2,3,5,9,1.61,62.2,56.0,7.52,7.47,4.66,13553
3,1,5,10,1.0,62.9,59.0,6.38,6.27,3.98,6359
3,1,5,10,1.01,62.9,58.0,6.39,6.36,4.01,6787
3,1,5,11,1.01,62.4,60.0,6.43,6.39,4.0,6606
2,2,7,12,0.33,61.4,56.0,4.44,4.49,2.74,810
2,2,7,12,0.33,62.2,56.0,4.43,4.45,2.76,810
2,2,7,12,0.28,61.8,56.0,4.21,4.24,2.61,642
1,5,3,4,1.51,63.6,60.0,7.27,7.23,4.61,7957
1,5,3,4,1.51,63.6,60.0,7.23,7.27,4.61,7815
1,4,3,5,1.5,64.0,61.0,7.18,7.14,4.58,5208
2,1,6,3,0.34,62.2,56.0,4.44,4.46,2.77,1014
2,1,6,3,0.32,61.6,56.0,4.42,4.41,2.72,1020
2,1,6,3,0.32,61.6,56.0,4.37,4.43,2.71,827
4,4,5,1,1.51,62.8,60.0,7.25,7.28,4.56,11166
4,5,5,1,1.71,62.8,59.0,7.52,7.58,4.74,11850
4,3,5,1,1.75,62.8,59.0,7.53,7.62,4.76,16073
3,2,2,2,1.56,60.1,60.0,7.56,7.52,4.53,11299
3,2,2,3,1.57,60.4,59.0,7.57,7.54,4.56,12112
3,2,2,3,1.56,60.7,59.0,7.55,7.45,4.55,11901
4,0,2,2,1.77,59.2,61.0,7.86,7.98,4.69,14561
4,2,2,3,1.51,60.7,60.0,7.39,7.43,4.5,11560
4,1,3,3,1.5,60.1,60.0,7.35,7.42,4.44,9281
2,2,3,10,1.22,62.0,57.0,6.88,6.83,4.25,4852
2,2,3,11,1.12,61.8,56.0,6.65,6.68,4.12,5277
2,2,3,12,1.0,61.8,57.0,6.45,6.36,3.96,4274
2,3,1,2,0.41,61.7,56.0,4.79,4.81,2.96,1259
2,3,1,1,0.43,61.7,57.0,4.83,4.86,2.99,1286
2,3,1,1,0.4,61.4,55.0,4.79,4.76,2.93,1397
2,3,1,1,0.35,61.9,54.0,4.56,4.58,2.83,1001
2,3,1,1,0.37,62.1,54.0,4.6,4.64,2.87,1056
2,3,1,1,0.31,62.0,54.0,4.36,4.38,2.71,891
2,2,7,6,0.31,61.2,56.0,4.37,4.39,2.68,761
2,2,7,8,0.33,61.3,56.0,4.44,4.46,2.73,810
2,2,7,7,0.3,61.6,55.0,4.3,4.33,2.66,751
0,6,0,2,4.5,65.8,58.0,10.23,10.16,6.72,18531
0,4,0,5,4.13,64.8,61.0,10.0,9.85,6.43,17329
3,6,0,9,4.01,62.5,62.0,10.02,9.94,6.24,15223
1,1,5,9,0.32,57.0,60.0,4.6,4.53,2.6,780
1,2,5,11,0.38,56.2,61.0,4.84,4.87,2.73,873
0,1,4,10,0.3,56.3,62.0,4.47,4.49,2.52,640
3,1,5,12,1.5,61.8,59.0,7.38,7.31,4.54,14925
3,1,5,10,1.51,62.2,59.0,7.36,7.31,4.56,14300
3,1,5,10,1.51,62.2,59.0,7.4,7.36,4.59,14844
2,5,2,9,2.0,62.8,56.0,8.04,7.95,5.02,15258
2,4,2,10,2.1,62.9,57.0,8.19,8.12,5.13,18648
2,4,2,10,2.05,62.4,57.0,8.14,8.08,5.06,17294
4,3,5,11,1.7,61.9,55.0,7.64,7.68,4.74,18107
4,3,5,10,1.52,61.9,56.0,7.28,7.39,4.54,13161
4,3,5,11,1.51,62.1,57.0,7.37,7.32,4.5,11532
4,3,4,5,0.3,63.4,58.0,4.25,4.23,2.69,776
4,3,4,4,0.3,63.5,58.0,4.26,4.21,2.69,725
4,3,5,4,0.31,63.2,58.0,4.3,4.28,2.71,651
1,1,3,1,0.7,61.0,64.0,5.63,5.69,3.45,2116
1,2,4,3,0.61,60.0,65.0,5.53,5.47,3.3,2196
1,1,5,3,0.75,59.7,65.0,5.85,5.8,3.48,2717
2,3,4,3,0.32,61.3,55.0,4.43,4.45,2.72,551
2,3,4,2,0.31,61.9,55.0,4.37,4.36,2.7,749
2,3,4,2,0.31,61.9,55.0,4.36,4.37,2.7,583
3,4,4,1,0.41,62.0,56.0,4.78,4.74,2.95,1061
3,5,5,2,0.31,62.3,57.0,4.35,4.32,2.7,558
3,4,4,4,0.31,61.4,56.0,4.39,4.37,2.69,698
2,4,5,11,0.26,62.1,55.0,4.08,4.1,2.54,434
2,4,5,8,0.3,61.7,56.0,4.32,4.34,2.67,491
2,4,5,11,0.31,61.9,55.0,4.35,4.38,2.7,489
2,5,2,2,0.53,61.5,54.0,5.22,5.26,3.22,1038
2,5,2,1,0.56,62.1,54.0,5.3,5.32,3.3,1094
2,5,2,1,0.55,61.2,55.0,5.28,5.33,3.25,1320
3,1,5,1,0.5,61.8,58.0,5.09,5.07,3.14,1746
3,1,5,1,0.5,62.0,58.0,5.07,5.09,3.15,1559
3,1,5,1,0.53,61.4,58.0,5.24,5.19,3.2,1579
2,0,5,5,0.5,62.6,56.0,5.08,5.05,3.17,1845
2,0,5,5,0.53,62.2,56.0,5.19,5.16,3.22,1956
2,0,5,4,0.52,62.3,56.0,5.11,5.16,3.2,1822
2,4,7,12,0.32,61.8,55.0,4.38,4.42,2.72,645
2,4,7,12,0.29,61.6,55.0,4.27,4.29,2.64,607
4,4,7,12,0.31,61.2,55.0,4.41,4.44,2.7,578
3,1,2,11,0.41,61.1,62.0,4.83,4.76,2.93,904
3,3,2,10,0.51,60.3,61.0,5.19,5.12,3.11,1312
3,2,3,11,0.5,61.4,61.0,5.14,5.09,3.14,1172
2,2,5,1,0.32,61.5,55.0,4.4,4.44,2.72,660
2,2,5,1,0.33,61.9,55.0,4.43,4.46,2.75,666
2,2,5,1,0.34,61.5,55.0,4.53,4.57,2.8,726
1,1,4,10,0.32,60.3,64.0,4.42,4.44,2.67,756
1,1,5,6,0.32,58.8,63.0,4.48,4.54,2.65,801
1,1,6,8,0.3,61.2,63.0,4.24,4.26,2.6,739
3,3,4,2,0.51,61.1,58.0,5.12,5.19,3.15,1656
3,3,4,3,0.38,61.0,58.0,4.67,4.71,2.86,833
3,3,4,1,0.42,60.8,59.0,4.85,4.79,2.93,984
1,4,2,10,0.71,63.5,57.0,5.64,5.67,3.59,2096
1,4,2,10,0.7,63.8,58.0,5.66,5.59,3.59,2176
1,4,4,10,0.7,63.9,58.0,5.67,5.59,3.6,2367
2,1,5,6,0.52,61.3,57.0,5.19,5.22,3.19,1576
2,1,5,6,0.52,61.3,57.0,5.22,5.19,3.19,1694
2,1,5,6,0.5,60.8,57.0,5.16,5.13,3.13,1768
0,3,2,0,0.51,65.2,55.0,5.04,5.02,3.28,1071
0,2,2,0,0.51,65.6,54.0,5.07,5.02,3.31,1052
0,2,2,1,0.7,65.3,54.0,5.58,5.54,3.63,1974
2,4,2,8,1.01,61.0,56.0,6.48,6.43,3.94,5062
2,4,2,9,1.07,61.0,56.0,6.6,6.68,4.05,5281
2,4,2,7,1.07,61.1,56.0,6.63,6.6,4.04,4955
3,2,2,3,1.01,59.8,60.0,6.57,6.53,3.92,5345
3,2,2,3,1.04,59.8,59.0,6.61,6.56,3.94,5284
3,2,2,3,1.0,59.3,60.0,6.61,6.57,3.91,4939
2,5,3,2,2.41,62.5,57.0,8.57,8.51,5.34,16987
2,5,3,5,2.25,62.4,57.0,8.39,8.32,5.21,17143
2,5,3,2,2.32,62.0,57.0,8.49,8.45,5.25,17676
4,1,4,6,0.29,60.0,57.0,4.33,4.34,2.6,619
4,1,6,3,0.25,60.0,56.0,4.1,4.14,2.47,575
2,2,3,2,2.05,62.2,57.0,8.19,8.12,5.07,12743
2,2,3,3,2.12,62.3,57.0,8.19,8.22,5.11,17730
2,2,3,4,2.01,62.3,58.0,8.03,8.01,5.0,15955
0,2,5,5,0.53,65.5,58.0,5.09,5.03,3.31,1402
1,2,5,5,0.5,65.3,57.0,4.93,4.97,3.23,1339
0,3,5,7,0.5,65.7,57.0,4.97,4.9,3.24,1031
3,2,4,12,0.5,62.0,58.0,5.1,5.03,3.14,1838
3,1,4,12,0.5,62.2,58.0,5.03,5.06,3.14,1675
3,3,4,12,0.51,62.3,58.0,5.08,5.13,3.18,1656
1,1,4,3,0.51,61.3,63.0,5.11,5.16,3.15,1841
1,1,4,3,0.58,61.5,61.9,5.3,5.34,3.27,2041
1,1,5,5,0.46,60.9,62.0,4.93,4.96,3.01,1267
3,1,4,4,0.27,60.2,59.0,4.2,4.24,2.54,470
3,2,4,5,0.3,59.8,60.0,4.39,4.31,2.6,799
3,1,4,3,0.26,60.1,60.0,4.15,4.1,2.48,580
3,0,2,5,0.38,59.1,58.0,4.77,4.74,2.81,815
3,1,2,1,0.33,59.1,58.0,4.56,4.51,2.68,743
3,0,2,5,0.31,58.5,59.0,4.49,4.44,2.61,537
2,5,5,1,0.54,60.1,58.0,5.28,5.34,3.19,1266
2,6,5,4,0.55,60.4,58.0,5.29,5.34,3.21,1133
3,6,5,3,0.72,60.2,59.0,5.85,5.81,3.51,1944
4,3,4,9,0.56,60.2,56.0,5.35,5.37,3.23,1686
4,3,4,8,0.46,60.0,56.0,5.05,5.1,3.04,1378
4,3,4,9,0.53,60.2,55.0,5.25,5.28,3.17,1722
2,1,7,11,1.13,60.1,59.0,6.77,6.81,4.08,11387
2,1,7,7,1.29,59.8,59.0,7.07,7.11,4.24,13530
2,1,7,11,1.18,61.6,58.0,6.78,6.82,4.19,11184
2,1,2,12,1.08,62.6,57.0,6.53,6.56,4.1,5096
2,1,2,10,1.03,62.2,57.0,6.48,6.42,4.01,5330
2,1,2,11,1.0,62.6,56.0,6.37,6.29,3.96,4480
2,5,5,10,1.09,62.0,57.0,6.64,6.58,4.1,5158
2,5,5,10,1.1,62.0,56.0,6.67,6.62,4.12,4897
2,5,5,7,1.15,61.7,57.0,6.72,6.74,4.15,5534
2,0,3,12,1.17,62.7,57.0,6.72,6.7,4.21,5949
2,0,3,11,1.08,61.6,57.0,6.62,6.58,4.07,5352
2,0,3,12,1.09,61.3,57.0,6.64,6.67,4.08,5267
1,6,3,10,0.92,59.0,63.0,6.3,6.35,3.73,3070
1,4,3,10,1.02,58.2,60.0,6.49,6.57,3.8,3940
1,5,2,7,1.1,57.7,60.0,6.82,6.77,3.92,4312
3,3,4,12,1.08,61.5,61.0,6.62,6.55,4.05,6532
3,3,4,12,1.02,61.0,61.0,6.58,6.53,4.0,7129
3,3,4,12,1.0,60.9,60.0,6.51,6.41,3.91,6000
2,3,1,7,0.35,61.8,56.0,4.57,4.52,2.81,1041
2,3,1,7,0.34,61.5,56.0,4.52,4.54,2.79,952
2,3,1,7,0.33,61.5,56.0,4.46,4.48,2.75,992
